step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,rcs_phase_with_place
45,2.6509644158068113e-05,0.5,0.0,0.0,-3.209059000015259,-0.00011740525951609015,-0.17845085263252258,0.0,-0.3741927444934845,0.0,2.0345811840849493e-11,-1.4584844443277234e-10,0.0,-0.5860244035720825,0.0,-1.7710927724838257,0.4000000059604645,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0009608115069568157,0.0,35.048702239990234,0.15000000596046448,0.027407152578234673
46,4.486783655011095e-05,0.5,0.0,0.0,-3.2078933715820312,-7.51951738493517e-05,-0.2639029026031494,0.0,-0.37425798177719116,0.0,1.6155193502398468e-11,-1.4584844443277234e-10,0.0,-0.7102536559104919,0.0,-1.7710927724838257,0.4000000059604645,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0008963095606304705,0.0,35.18500518798828,0.15000000596046448,0.028167469426989555
47,0.0001556271454319358,0.5,0.0,0.0,-3.203399896621704,-5.835882984683849e-05,-0.5085626840591431,0.0,-0.3751778304576874,0.0,1.0544152356795067e-11,-1.4584844443277234e-10,0.0,-0.8579745888710022,0.0,-1.7710927724838257,0.4000000059604645,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-4.7617810196243227e-05,0.0,35.2618408203125,0.15000000596046448,0.028648046776652336
48,0.00034607405541464686,0.5,0.0,0.0,-1.6685986518859863,-4.6834524255245924e-05,-0.5366319417953491,0.0,-0.3753871023654938,0.0,3.179204946177072e-12,-1.4584844443277234e-10,0.0,-1.033461570739746,0.0,-1.7710927724838257,0.4000000059604645,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0001618820970179513,0.0,35.29669952392578,0.15000000596046448,0.028736263513565063
49,0.0003089200472459197,0.5,0.0,0.0,-3.2465085983276367,-0.00014142083819024265,-0.3328059911727905,0.0,-0.3758036196231842,0.0,-2.3293613132108204e-12,-1.4584844443277234e-10,0.0,-0.8589292764663696,0.0,-1.7710927724838257,0.4000000059604645,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.00020447486895136535,0.0,35.29669952392578,0.15000000596046448,0.02901439368724823
50,0.00032106772414408624,0.5,0.0,0.0,-3.2007999420166016,-5.4674778766639065e-06,-0.06669887155294418,0.0,-0.37510770559310913,0.0,-4.102926332016921e-12,-1.4584844443277234e-10,0.0,-0.7072703242301941,0.0,-1.7710927724838257,0.4000000059604645,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-7.34648565412499e-05,0.0,35.2618408203125,0.15000000596046448,0.029178248718380928
51,0.00037481923936866224,0.5,0.0,0.0,-1.611331820487976,-0.0010262958239763975,-0.11994114518165588,0.0,-0.3753180503845215,0.0,-4.349407119186299e-12,-1.4584844443277234e-10,0.0,-0.5927006006240845,0.0,-1.7710927724838257,0.4000000059604645,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-1.2118066479160916e-06,0.0,35.18500518798828,0.15000000596046448,0.02936440333724022
52,0.0010961154475808144,0.5,0.0,0.0,-3.2020070552825928,-8.122598228510469e-05,-0.1274939328432083,0.0,-0.3751116693019867,0.0,-7.96977327882642e-12,-1.4584844443277234e-10,0.0,-0.7352629899978638,0.0,-1.7710927724838257,0.4000000059604645,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0008109779446385801,0.0,35.0487060546875,0.15000000596046448,0.028839433565735817
53,0.000567667477298528,0.5,0.0,0.0,-3.2015037536621094,-3.2014660973800346e-05,-0.17929989099502563,0.0,-0.37456122040748596,0.0,-1.0494486356316113e-11,-1.4584844443277234e-10,0.0,-0.6070974469184875,0.0,-1.7710927724838257,0.4000000059604645,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-7.845796062611043e-05,0.0,34.815887451171875,0.15000000596046448,0.028654033318161964
54,0.002365163993090391,0.5,0.0,0.0,-3.2300596237182617,-0.0001391858677379787,-0.16453415155410767,0.0,-0.37321555614471436,0.0,-1.5124452037995617e-11,-1.4584844443277234e-10,0.0,-0.7437995672225952,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0007164429407566786,0.0,34.40550994873047,0.15000000596046448,0.027769820764660835
55,0.0009324170532636344,0.5,0.0,0.0,-3.2151174545288086,-0.0001431450800737366,-0.5688738226890564,0.0,-0.3752666413784027,0.0,-1.6036573111111174e-11,-1.4584844443277234e-10,0.0,-0.61644047498703,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-8.570114005124196e-06,0.0,33.62112045288086,0.15000000596046448,0.02724715694785118
56,0.002312957774847746,0.5,0.0,0.0,-3.2191152572631836,-4.904821253148839e-05,-0.1193431094288826,0.0,-0.3753933608531952,0.0,-1.9178256205343303e-11,-1.4584844443277234e-10,0.0,-0.5095791220664978,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.00042331189615651965,0.0,31.905454635620117,0.15000000596046448,0.025781162083148956
57,0.008837347850203514,0.5,0.0,0.0,-3.207263708114624,-2.010112802963704e-05,-0.3014739453792572,0.0,-0.37405556440353394,0.0,-2.43351450102125e-11,-1.4584844443277234e-10,0.0,-0.41647931933403015,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0011606774060055614,0.0,27.338802337646484,0.15000000596046448,0.021521223708987236
58,0.009752539917826653,0.5,0.0,0.0,-3.2106611728668213,-0.00017757658497430384,-0.6919826865196228,0.0,-0.3737066388130188,0.0,-3.312633153895739e-11,-1.4584844443277234e-10,0.0,-0.33573225140571594,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0008018387015908957,0.0,13.147208213806152,0.15000000596046448,0.010056884028017521
59,0.003181760897859931,0.5,0.0,0.0,-3.379923105239868,-0.0007817749283276498,-0.7478766441345215,0.0,-0.369965136051178,0.0,-3.4224179046304926e-11,-1.4584844443277234e-10,0.0,-0.26530978083610535,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0003597045433707535,0.0,-13.147147178649902,0.15000000596046448,-0.017054282128810883
60,0.0005465406575240195,0.5,0.0,0.0,-3.3233132362365723,-0.00535782752558589,-0.48121073842048645,0.0,-0.3748543858528137,0.0,-2.450007210996752e-11,-1.4584844443277234e-10,0.0,-0.2105654627084732,0.0,-1.2503015995025635,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.12213465571403503,0.0,27.338781356811523,0.15000000596046448,0.005167168099433184
61,0.0009497380233369768,0.5,0.0,0.0,-3.2113678455352783,-0.0002246001677121967,-0.14036861062049866,0.0,-0.3749583661556244,0.0,-1.549220474128532e-11,-1.4584844443277234e-10,0.0,-0.15494617819786072,0.0,-1.2503015995025635,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.2729669213294983,0.0,31.90544891357422,0.15000000596046448,0.008696921169757843
62,0.0007032346911728382,0.5,0.0,0.0,-3.2002012729644775,-0.0004416843585204333,-0.04360451549291611,0.0,-0.3750041723251343,0.0,-1.1559522436477287e-11,-1.4584844443277234e-10,0.0,-0.1108473539352417,0.0,-1.2503015995025635,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.26953306794166565,0.0,33.62111282348633,0.15000000596046448,0.013594340533018112
63,0.0005455236532725394,0.5,0.0,0.0,-3.2051641941070557,-0.0005706563824787736,-0.02438082918524742,0.0,-0.37501290440559387,0.0,-1.1272666827766287e-11,-1.4584844443277234e-10,0.0,-0.07366382330656052,0.0,-1.2503015995025635,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.23403772711753845,0.0,34.40550994873047,0.15000000596046448,0.020379263907670975
